Contract,Question,Answer,Source Page No,Evaluation Azure,Result Azure,Evaluation Chroma,Result Chroma,Question Category
contract sample-1.pdf,what type of APU is on the aircraft and is there a serial number?,GTCP131-9B with serial number H-12345,31,Yes," The type of APU (Auxiliary Power Unit) on the aircraft is a GTCP131-9B manufactured by Honeywell Aerospace, and the serial number is H-12345.",Yes," The type of APU (Auxiliary Power Unit) on the aircraft is a GTCP131-9B manufactured by Honeywell Aerospace, and its serial number is H-12345.",Specific/Factual
contract sample-1.pdf,What is the maximum takeoff weight?,"82,000 KGS",31,Yes," The maximum takeoff weight of the Boeing 737 MAX 8 aircraft, as specified in Exhibit A of the lease agreement, is 82,000 KGS.",No, I'm an intelligent assistant specialising in aircraft lease agreements. I'm unable to determine the maximum takeoff weight directly from the provided information. The tables only list various costs related to aircraft operation and maintenance.,Numerical
contract sample-1.pdf,what is the engine type and model?,LEAP-1B,31,No," Based on the context provided, there is no explicit mention of the engine type and model in the given documents. Therefore, I cannot provide an answer to that question with the information available.",No, The table provided does not specify the engine type and model for the aircraft lease agreement.,Specific/Factual
contract sample-1.pdf,who manufactures the APU of aircraft?,Honeywell Aerospace,31,Yes, The APU (Auxiliary Power Unit) of the aircraft is manufactured by Honeywell Aerospace.,No, The documentation provided does not mention the manufacturer of the Auxiliary Power Unit (APU) of the aircraft.,Specific/Factual
contract sample-1.pdf,what is basic rent and mention the rent rate for the aircraft?,"“Basic Rent” refers to the fixed monthly payment the Lessee agrees to pay the Lessor for 
the lease of the Aircraft. The rent is $250,000 per month.",35,Yes," Basic rent refers to the fixed monthly payment the Lessee agrees to pay the Lessor for the lease of the Aircraft, as defined in Exhibit C, with a value of $250,000 per month.",Yes," Basic rent is a fixed monthly payment the Lessee agrees to pay the Lessor for the lease of the Aircraft. The rent rate is $250,000 per month as per the agreement.",Numerical
contract sample-1.pdf,When the lease term is expiring?,"lease term expiring on July 19, 2029",35,Yes," The lease term for the aircraft begins on July 19, 2024, and ends on July 19, 2029. The lessee has the option to extend the lease term by 12 months, provided they give written notice to the lessor 90 days before the expiration of the original lease term. The certificate of delivery and technical acceptance was executed on July 19, 2024.

Default events under the agreement include failure to pay rent, breach of material covenant, and insolvency, bankruptcy, or liquidation. For insolvency, bankruptcy, or liquidation events, there is no cure period, and the lessor may immediately terminate the agreement and repossess the aircraft.

Upon the expiration or early termination of the lease, the lessee is responsible for returning the aircraft to the lessor in the condition outlined in the return condition clause and paying any additional costs incurred to meet return condition standards. The lessor has the right to audit the lessee's maintenance operations and records to ensure compliance with the agreement and may demand immediate corrective actions and seek reimbursement for any associated costs.

The term ""aircraft"" refers to the Boeing Voyager -737 aircraft, as further described in Exhibit A, including engines, avionics, components, and all associated equipment, with a current market value of $50,000,000. The basic rent is $250,000 per month, and the lease term is 60 months, commencing on July 19, 2024, and expiring on July 19, 2029. The security deposit is $500,000, and maintenance reserve payments are monthly payments made by the lessee to cover future maintenance and overhaul costs.",Yes," The lease term for the aircraft is 60 months, starting on July 19, 2024, and ending on July 19, 2029. The lessee has the option to extend the lease term by 12 months, provided they give written notice to the lessor 90 days before the expiration of the original lease term. The certificate of delivery and technical acceptance was executed on July 19, 2024. Upon the expiration or early termination of the lease, the lessee is responsible for returning the aircraft in the condition outlined in the return condition clause and paying for any necessary maintenance to meet those standards. The lessor has the right to audit the lessee's maintenance operations and records at any time to ensure compliance with the agreement. If the lessee is found non-compliant, the lessor may demand immediate corrective actions and seek reimbursement for any associated costs. The lessee is also responsible for providing renewal certificates or proof of replacement coverage for insurance policies at least 30 days before their expiration and notifying the lessor immediately in the event of any loss, damage, or occurrence giving rise to a claim under the insurance policies. If the lessee fails to maintain the required insurance coverage, the lessor may procure the insurance on behalf of the lessee, declare an event of default, or exercise any remedies available under Section 17. The lessor may terminate the agreement, take possession of the aircraft, or accelerate payments if the lessee fails to cure any default within the applicable cure period. Default events include failure to pay rent, breach of material covenant, insolvency, bankruptcy, or liquidation.",Specific/Factual
contract sample-1.pdf,what is Security Deposit?,"“Security Deposit” refers to the sum paid by the Lessee to the Lessor as a form of 
financial guarantee for the performance of obligations under the Lease Agreement.",35,Yes, A security deposit is a sum paid by the Lessee to the Lessor as a financial guarantee for the performance of obligations under the Lease Agreement. It is typically paid prior to the aircraft's delivery.,Yes, A Security Deposit is a sum paid by the Lessee to the Lessor as a form of financial guarantee for the performance of obligations under the Lease Agreement. It is typically paid prior to the delivery of the aircraft.,Descriptive
contract sample-1.pdf,Explain Airframe Heavy Maintenance Reserves?,"The Lessee shall contribute to an Airframe Heavy Maintenance Reserve to account for 
costs related to major structural inspections and overhauls. The payment frequency is monthly and the amount is $10,000 per month.",37,Yes," Airframe Heavy Maintenance Reserves refer to a provision in an aircraft lease agreement where the Lessee makes monthly payments to a reserve fund to cover future costs related to major structural inspections and overhauls of the aircraft's airframe. The Lessee is required to contribute $10,000 per month to this reserve. The Lessor may draw from this reserve when major airframe inspections or overhauls are required.",Yes," Airframe Heavy Maintenance Reserves refer to a reserve fund established by the Lessee to cover costs related to major structural inspections and overhauls of the aircraft's airframe. The Lessee makes monthly contributions to this reserve, with a payment amount of $10,000 per month. The Lessor may draw from this reserve when major airframe inspections or overhauls are required.",Descriptive
contract sample-1.pdf,Is there any adjustments for maintenance payments?,"The Lessor reserves the right to adjust maintenance reserve payments every 12 months 
based on actual maintenance costs and industry standard rates. The Lessee shall be notified of any 
adjustments at least 60 days prior to the change taking effect.  Not to exceed a 10% increase annually unless mutually agreed by both parties.",38,Yes," Yes, there are adjustments for maintenance payments. The Lessor may require additional payments or reserves for deferred maintenance, and the maintenance reserve payments may be adjusted every 12 months based on actual maintenance costs and industry standard rates. The Lessee will be notified of any adjustments at least 60 days prior to the change taking effect, with the adjustment rate not to exceed a 10% increase annually unless mutually agreed by both parties. The Lessee will also be reimbursed for any major maintenance or overhauls that fall under the Lessor's responsibility or if the Lessor agrees to cover certain maintenance costs. Unscheduled maintenance costs are the responsibility of the Lessee.",Yes," Yes, there are adjustments for maintenance payments. The Lessor may require additional payments or reserves for deferred maintenance to cover increased risk or costs. Maintenance reserve payments may be adjusted every 12 months based on actual maintenance costs and industry standard rates, with a maximum increase of 10% annually unless agreed by both parties. The Lessee will be reimbursed for any major maintenance or overhauls that fall under the Lessor's responsibility or if the Lessor agrees to cover certain maintenance costs. Unscheduled maintenance costs are the responsibility of the Lessee.",Specific/Factual
contract sample-1.pdf,"what is the name of the lessor, lessee?",The lessor is SkyHigh Leasing Ltd and the name of lessee is Global Air Transport Inc.,1,No, The lessor is the party who owns and retains legal and beneficial title to the aircraft during the lease term. The lessee is the party who leases and uses the aircraft under the terms of the agreement.,No, The lessor is the party who owns and leases the aircraft to the lessee. The lessee is the party who uses the aircraft under the terms of the lease agreement.,Specific/Factual
